position_title;required_skills
Systems Analyst;['capacity planning', 'deployment topology design', 'task automation', 'web application vulnerability knowledge (sql injection, xss)', 'application support', 'problem solving', 'maintenance procedures', 'application administration', 'ssl certificate management (iis, apache tomcat)', 'system implementation', 'oracle database querying', 'application development methodology', 'technical documentation', 'application onboarding', 'sql querying', 'scripting (windows powershell)', 'system architecture', 'analytical ability']
Systems Programmer;['web services', 'risk analysis', 'critical infrastructure risk assessment', 'microsoft sql server', '.net web application development', 'api integration', 'briefing management', 'database management', 'google maps api', 'database design', 'c#']
Talent Acquisition;['team leadership', 'business acumen', 'diversity hiring', 'full life cycle recruiting', 'motivation', 'ta strategies', 'matrix environment experience', 'ta tools', 'interviewing', 'results-driven', 'labor law', 'global perspective', 'people management', 'hr', 'accountability', 'sourcing', 'hiring', 'recruiting', 'navigating complex recruiting scenarios', 'talent acquisition', 'compensation negotiation', 'strategic planning']
Talent Acquisition Advisor;['hiring', 'recruiting', 'communication', 'networking', 'interviewing', 'hr systems', 'ats', 'onboarding', 'phone screening', 'sourcing']
Talent Acquisition Recruiter;['candidate pipeline building', 'interpersonal skills', 'linkedin', 'indeed', 'adaptability', 'outlook', 'technical recruiting (cyber, engineering, data science)', 'background checks', 'client service', 'communication', 'passive sourcing', 'networking', 'interviewing', 'organizational skills', 'applicant tracking system (ats)', 'relationship management', 'full lifecycle recruiting', 'self-motivation', 'collaboration', 'sourcing', 'ms office (word, excel, powerpoint)', 'workday (preferred)', 'negotiation', 'written communication', 'recruiting', 'talent acquisition', 'compliance', 'screening', 'drug screens']
Teacher;['cpr', 'early childhood education (ece)', 'verbal communication (speaking english)', 'communication (with children and parents)', 'literacy (reading, writing)', 'childcare', 'partnering with parents', 'first aid', 'creating a safe environment', 'curriculum implementation', 'physical stamina (lifting, postures)']
Team Member;['friendliness', 'communication', 'hardworking', 'order taking', 'transaction processing', 'physical stamina (lifting up to 50 lbs)', 'motivation', 'menu knowledge', 'teamwork', 'stocking', 'maintaining store appearance', 'customer service']
Tech Recruiter;['work ethic', 'attention to detail', 'recruiting', 'accountability', 'boolean search', 'relationship building', 'organizational skills', 'ats (applicant tracking system)', 'adaptability', 'data integrity', 'sourcing']
Technical Analyst;['decision making', 'independent work', 'configuration management', 'html', 'technical documentation verification', 'technical specifications review', 'conceptual skills', 'microsoft office (powerpoint, excel)', 'technical acumen', 'organizational skills', 'technical solutions design', 'technical testing', 'subject matter expertise', 'code changes', 'edi', 'problem solving', 'prioritization', 'sap', 'jira', 'communication skills (verbal and written)', 'analytical skills', 'multitasking']
Technical Sourcing Recruiter;['recruiting', 'prioritization', 'boolean search', 'talent pipeline building', 'multiple search management', 'full-cycle recruitment', 'linkedin recruiter', 'sourcing']
Technical Support Agent;['phone communication', 'interpersonal skills', 'troubleshooting', 'product knowledge', 'helpdesk support', 'application system monitoring', 'critical thinking', 'microsoft office', 'saas', 'empathy', 'zendesk', 'active directory', 'vpn', 'adaptability to new technology', 'problem resolution', 'communication', 'technical proficiency', 'cloud-based tools', 'report creation', 'mdm', 'website backend', 'independent judgment', 'task management', 'email', 'issue tracking software', 'web and mobile app navigation', 'voip', 'video etiquette', 'attention to detail', 'writing (email and live chat)', 'backup software', 'system security', 'problem solving', 'tech support', 'service management', 'initiative', 'active listening', 'autonomy', 'email communication', 'internet technologies', 'windows', 'typing', 'exchange', 'patience', 'integrity', 'web applications', 'crm', 'salesforce', 'communication skills', 'time management', 'analytical skills', 'database monitoring', 'customer service']
Technical Support Representative;['technical troubleshooting', 'browser knowledge', 'active listening', 'critical thinking', 'microsoft office', 'technical support', 'multitasking', 'customer service']
Telemetry Nurse;['patient monitoring', 'bls certification', 'progressive care nursing', 'communication (with physicians and administrators)', 'patient care', 'directing daily operations', 'medication administration', 'planning', 'cardiology nursing', 'acls certification', 'supervision', 'coordination', 'nursing']
Teller;['decision making', 'computer skills', 'accuracy', 'oral communication', 'product recommendation', 'organization', 'communication', 'pc proficiency (internet, word, excel, outlook)', 'teamwork', 'independence', 'banking transactions', 'judgement', 'office equipment operation', 'teller services', 'analytical thinking', 'cash handling', 'customer needs assessment', 'basic math', 'written communication', 'integrity', 'confidentiality', 'detail-oriented', 'referrals', 'customer service']
Quality Assurance Engineer;['quality assurance', 'event-driven systems', 'testing and validation', 'rest apis', 'software development', 'dynamodb', 'automation testing frameworks', 'microservices', 'recruiting and talent management', 'agile methodologies', 'aws', 'mentoring', 'docker', 'ci/cd tools (jenkins)', 'node.js', 'helm', 'leadership', 'api testing', 'go', 'test case management tools', 'test driven development', 'typescript', 'test engineering leadership', 'redis', 'manual and automated testing', 'kubernetes', 'python']
Therapeutic Team;['emergency services', 'oversight', 'supervision', 'scheduling', 'coordination', 'training']
Transaction Monitoring Investigator;['microsoft word', 'communication skills (oral & written)', 'attention to detail', 'independent work', 'problem solving skills', 'organizational skills', 'microsoft excel', 'analytical skills', 'time management', 'data analysis', 'multitasking', 'teamwork']
Travel Agent;['appointment assistance', 'bathing', 'resident care', 'activity assistance', 'assisting with activities of daily living', 'love of seniors', 'hygiene', 'cheerful disposition', 'experience in senior living', 'meal assistance']
Meeting Coordinator;['meeting organization', 'verbal communication', 'document preparation', 'calendar management', 'microsoft office proficiency', 'email correspondence', 'project management software proficiency', 'organizational skills', 'multi-tasking', 'microsoft office suite', 'process implementation', 'administrative support', 'internal communications', 'event organization', 'attention to detail', 'powerpoint proficiency', 'ms teams proficiency', 'meeting management (board meetings)', 'travel management', 'written communication', 'prioritization', 'project management', 'systems implementation', 'communication skills', 'zoom proficiency', 'correspondence handling']
Truck Driver;['following instructions', 'valid class a cdl license', 'tank trailer knowledge', 'safety procedures adherence', 'loading and unloading', 'freight transportation', 'clean pre-employment screening program (psp)', 'communication', 'maneuvering heavy objects', 'cdl a driving', 'transportation safety procedures', 'vehicle inspection', 'teamwork', 'long distance driving', 'transportation regulations adherence', 'tanker operation', 'pneumatic trailer knowledge', 'tractor trailer operation', 'tractor and semitrailer knowledge', 'clean driving record', 'clean motor vehicle record (mvr)', 'tanker endorsement (optional)', 'twic certification', 'hazmat certification', 'trip planning', 'cargo loading & securing', 'payment collection', 'documentation', 'truck and trailer maintenance', 'flatbed truck operation', 'customer service']
UI Designer;['mobile design', 'layout design', 'figma', 'pixel-perfect design', 'composition', 'illustrator', 'art direction', 'invision', 'color theory', 'ui design', 'mobile-first principles', 'adobe xd', 'visual design', 'responsive web design', 'sketch', 'adobe creative suite', 'motion design', 'typography', 'web design', 'wireframing']
Vice President;['data compilation', 'diversity and inclusion', 'healthcare sales', 'recruitment', 'data analysis', 'profit and loss (p&l) management', 'retention', 'phase i environmental assessment', 'title ix compliance', 'budgeting', 'field work', 'institutional equity', 'organizational development', 'deib implementation', 'problem solving', 'operations management', 'property condition assessment (pca)', 'leadership', 'performance evaluation', 'affirmative action compliance', 'hiring', 'promotion', 'business development', 'deib strategy development', 'report writing', 'strategic planning', 'environmental site assessment (esa)']
Vice President Actuary;['actuarial modeling', 'ibnp reserve development', 'mentoring', 'business development', 'actuarial expertise', 'benefits strategy', 'actuarial opinion statements', 'peer review', 'project management', 'benchmarking', 'communication skills', 'analytical skills', 'client relationship management', 'leadership', 'strategic thinking', 'healthcare budgeting', 'financial management', 'health and welfare consulting']
Vice President Client Development;['market research', 'problem-solving', 'mentoring', 'revenue forecasting', 'analytical skills', 'leadership', 'management', 'strategic thinking', 'creative thinking', 'communication (verbal & written)']
Vice President Financial Officer;['nonprofit accounting', 'procedure development', 'financial reporting', 'financial analysis', 'financial modeling', 'forecasting', 'accounting', 'compliance', 'finance', 'policy development', 'internal controls', 'budgeting', 'leadership', 'management']
Vice President Marketing;['programmatic advertising', 'marketing', 'strategic decision making', 'direct response marketing', 'new product introduction', 'verbal communication', 'data analysis', 'performance reporting', 'microsoft office suite (excel, powerpoint, word)', 'competitive positioning', 'growth marketing', 'executive collaboration', 'seo', 'design management', 'lead generation programs', 'quota management', 'video marketing', 'mobile marketing', 'sales enablement', 'fast-paced environment management', 'hubspot', 'strategic & operational planning', 'instagram marketing', 'facebook marketing', 'revenue growth', 'marketing program optimization', 'google analytics', 'brand scaling', 'communications', 'a/b testing', 'b2c marketing', 'paid social', 'leadership', 'team training', 'persona/solution-based outreach tactics', 'paid search (google)', 'written communication', 'prioritization', 'business/marketing opportunity identification', 'abm (account-based marketing)', 'creative design strategy', 'brand management', 'affiliate marketing', 'kpi management', 'app marketing', 'demand generation', 'cross-channel marketing', 'budget management']
Vice President Marketing and Growth;['marketing strategy', 'audience growth', 'campaign management', 'strategy skills', 'team management', 'communication', 'positioning', 'messaging', 'partnership development', 'engagement', 'collaboration', 'metrics', 'presentation skills', 'creative thinking', 'analytics', 'revenue generation', 'creative development', 'project management', 'budget management']
Vice President Operations;['organization', 'subcontractor communication', 'project management', 'pvc roofing', 'customer communication', 'bur roofing', 'epdm roofing', 'measurement', 'tpo roofing', 'kee roofing', 'single-ply roofing']
Vice President Real Estate;['lihtc', 'asset management', 'real estate portfolio management', 'bond financing', 'affordable housing development', 'project management', 'lease up', 'marketing', 'year 15 transactions', 'excel']
Vice President of Business Intelligence;['establishing objectives', 'ratemaking', 'management', 'tableau', 'data analytics', 'actuarial science', 'business intelligence', 'vision', 'qlik', 'sql', 'computer programming', 'leadership', 'training', 'applied statistics', 'mathematics', 'business requirements analysis', 'bi solutions', 'reserving', 'user interface design', 'performance reviews', 'power bi']
Vice President of Finance;['financial and accounting systems implementation', 'financial analysis', 'business acumen', 'accounting', 'forecasting', 'financial statement preparation', 'analytical skills', 'budgeting', 'internal control implementation', 'process improvement']
Vice President of Marketing;['digital marketing', 'marketing strategy', 'salesforce (preferred)', 'team management', 'multiplatform marketing', 'tv marketing', 'lead conversion rate optimization', 'process implementation', 'marketing systems development', 'advertising', 'news/information media knowledge', 'marketing analysis', 'marketing programs development', 'brand building', 'problem solving', 'on-air promotion management (preferred)', 'lead generation', 'leadership', 'direct marketing', 'training', 'vision development', 'project management']
Vice President of Operations;['financial analysis', 'process development', 'coaching', 'team management', 'communication', 'interviewing', 'operational excellence', 'selection', 'policy implementation', 'budgeting', 'performance management', 'operations management', 'organizational change management', 'deadline management', 'leadership', 'yardi', 'property management', 'project management', 'rentcafe', 'service delivery', 'multitasking']
Vice President of Operations Excellence;['customer satisfaction', 'continuous improvement', 'relationship building', 'operational excellence', 'leadership', 'management', 'target setting', 'process management', 'safety management']
Vice President of Sales;['phone sales', 'sales', 'finra series 6', 'high-net-worth individuals', 'financial services', 'investment advisory', 'new business development', 'wealth management', 'communication skills', 'in-person meetings', 'client acquisition']
Vice President of Solution Sales;['negotiation', 'financial services sales', 'sales', 'c-level communication', 'relationship building', 'information technology sales', 'presentation skills']
Vice President of Tax;['strategy development', 'efficiency improvement', 'team management', 'tax services', 'operations management', 'accounting', 'financial services', 'cross-functional collaboration', 'quality improvement', 'communication skills (written and oral)', 'scaling organizations', 'team building']
Financial Advisor;['business development', 'state insurance license', 'financial services', 'financial needs assessment', 'banking', 'series 7 securities license', 'si series 6 securities license', 'client relationship management']
Commercial Real Estate Property Manager;['written communication', 'team leadership', 'problem-solving', 'commercial real estate property management', 'verbal communication', 'yardi', 'sharepoint']
Warehouse Manager;['delivery', 'interpersonal skills', 'regulatory requirements (fda, osha)', 'cgmp pharmaceutical manufacturing environment experience', 'physical stamina (carry 50 lbs)', 'computer skills', 'excel', 'verbal communication', 'ability to work under pressure', 'coaching', 'organization', 'mathematical skills', 'receiving', 'warehousing operations', 'team management', 'logistics', 'safety procedures', 'warehouse processes', 'inventory control', 'transportation regulations (iata, dot, customs)', 'shipping and receiving', 'quality system processes (capa, change controls)', 'process orientation', 'typing skills', 'sap or erp systems', 'problem-solving', 'team supervision', 'product rotation', 'reporting', 'driving (box truck)', 'deadline management', 'inspecting', 'warehouse equipment operation (forklifts, pallet jacks)', 'leadership', 'scheduling', 'procedure development', 'team motivation', 'written communication', 'freight scheduling', 'microsoft office applications', 'supervisory skills', 'communication skills', 'time management', 'auditing', 'coordination', 'hazardous material handling', 'multitasking']
Warehouse Management;['flexibility', 'physical stamina', 'material handling', 'warehousing', 'forklift operation', 'freight handling', 'teamwork']
Warehouse Staff;['loading/unloading', 'adaptability', 'culture building', 'logistics management', 'energy', 'talent development', 'inventory management', 'workforce management', 'labor management', 'inbound/outbound management', 'budgeting', 'physical stamina (lifting up to 100 lbs)', 'facility/equipment maintenance', 'agility', 'automated system management', 'complex situation handling', 'problem-solving', 'technology proficiency (delivery scheduling & inventory management)', 'cost savings', 'cross-functional collaboration', 'proactive thinking', 'forklift operation', 'deadline management', 'process improvement', 'leadership', 'scheduling', 'positive attitude', 'training', 'security management', 'hiring', 'warehouse management', 'material handling', 'integrity', 'cycle counting', 'financial acumen', 'order verification', 'kpi management', 'shipment coordination', 'supply chain coordination', 'customer service', 'safety management']
Web Developer;['mobile-first design', 'interpersonal skills', 'relational databases', 'web development', 'adaptability', 'nosql', 'wordpress', 'postgresql', 'asp.net', 'scalable web applications', 'teamwork', 'back-end development (typescript, javascript, node.js)', 'qa testing', 'mvc (model-view-controller)', 'sql', 'ux (user experience)', 'jquery', 'adobe suite', 'motion graphics', 'user experience design', 'mysql', 'typography', 'angular', 'cms systems', 'web best practices', 'mvc frameworks (zend, laravel etc.)', 'troubleshooting', 'adobe photoshop', 'search engine optimization (seo)', 'audio editing', 'git', 'graphic design', 'continuous delivery (cd)', 'illustrator', 'wordpress theming (sage preferred)', 'brand building', 'network diagnostics', 'devops', 'video editing', 'sketch', 'lightroom', 'typescript', 'soap apis', 'interaction design', 'api integration', 'direct response design', 'php', 'figma', 'adobe aem sites', 'drupal', 'html', 'creative production', 'communication', 'ci/cd', 'seo', 'bug fixing', 'presentation', 'continuous integration (ci)', 'mongodb', 'sql databases (mysql, postgresql)', 'session management', 'nosql databases (mongodb, redis)', 'problem solving', 'ui/ux design', 'node.js', 'lamp stack development', 'content management system (cms)', 'web design', 'communication skills', 'wireframing', 'gitflow', 'css', 'landing page design', 'react', 'reliable web applications', 'rest apis', 'gitflow workflow', 'object-oriented programming (oop)', 'php/mysql security', 'strategic thinking', 'frameworks', 'programming languages', 'custom scripting', 'after effects', 'front-end development (angular, react, html, css)', 'web application security', 'digital design', 'custom rest api development', 'digital content creation', 'organization skills', 'adobe creative suite', 'cross-browser debugging', 'javascript', 'mobile application design', 'project management', 'es6 javascript', 'clean aesthetic', 'redis', 'network analytics', 'responsive design', 'unit testing']
Visual Designer;['product design', 'figma', 'visual design', 'interaction design', 'modular design systems', 'typography', 'web design', 'communication skills', 'responsive design', 'design tools proficiency']
Windows Packaging;['flexera admin studio', 'windows technical skills', 'powershell', 'technical solution design', 'windows systems knowledge (registry, com, variables, application settings)', 'vbscript', 'microsoft configuration manager', 'appv', 'application packaging']
Windows System Administrator;['system monitoring', 'windows server administration', 'troubleshooting', 'office 365', 'azure ad', 'active directory administration', 'sccm', 'it infrastructure maintenance']
Wordpress Developer;['wordpress', 'communication', 'javascript', 'web design', 'html', 'client communication', 'css']
Writer / Journalist;['research', 'independent work', 'meeting deadlines', 'seo (optional)', 'writing']
Youth Career;['program development', 'adult learning', 'skills assessment', 'information exchange', 'counseling', 'career coaching', 'training program coordination', 'communication skills', 'motivational theory', 'training referral', 'workshop facilitation', 'assessment administration', 'workforce development']
